Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,230035024.9361232,248479773.67184928,263162551.1682562,275602108.0849926,292956085.41367984,312669471.4852066,330962521.3692958,344496877.7,357096628.4498384,369992269.1,373466906.8372112,402049685.87453616,486077838.3826939,578518581.2780329,607615681.6223388,785346360.3231083,789232795,837478127.3582045,998476411.2711865,1098798514.7004044,1275605500.4799993,1200548834,1191083807.1608658,1135442860.4543464,1190875461.774425,1252451676.5769515,1305299104.800844,1498995517.7736285,1682423562.5115457,1655004307.257247,2256863448.770862,2069870129.8701322,1272835453.426339,1201312829.2752416,1315158636.6755295,1468317435,1596968946.2370782,1639492444.7615185,1893726437.2646222,1845482173.027319,1911563668.8500614,2118467913.3787303,2376335048.399762,2807061008.6908383,3576615240.416164,4900469511.101911,6384452066.5146055,9206301269.791649,11662040713.87529,8647937081.256214,9260285755.624245,10142111825,10619320682.94741,11121464437.041502,11609513246.795801,10553337518.413994,10546136235.521915,11527458709.015795,12457940694.739508,13619290539.211624,12641698583.215221,13878908628.937796,19513474648.24291
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,12656454.556796888,13072118.252514582,13524129.412736801,13441700.870321926,14390407.012855986,14657683.85,15585855.05873711,17491518.235739578,16778155.437561367,18005499.539558116,23511097.94937026,25970536.841139663,32559546.157654487,34711675.414746955,40198644.07555353,41925008.35496233,40536562.176222295,46875435.447143994,56362637.652948365,76370942.01,88730472.87667583,98480879.77426107,107975498.71616016,111457959.25297453,118479493.81996556,120209005.46515444,131859351.07102756,145821743.0726054,168110078.95065627,172337172.8612722,185952260.35044226,195152498.24857646,209039010.4582601,214917715.3362711,258802467.94746643,272192014.7539174,292059242.1465325,313572730.67029995,322537842.3673919,325445368.2799744,338990478.8652504,354396560.7345058,511999999.9999992,524000000.0000006,509000000.00000054,500000000.0000005,492999999.99999964,518000000.00000054,560000000.0000006,675000000.0000011,572999999.9999994,569999999.9999999,640000000.0000007,638000000.0000002,642999999.9999995,673000000.0000004,671000000.0000005,612000000.0000008,639000000.0000007,647000000.0000005,721000000.0000011,750000000.0000002,871000000.0000012
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,18444120.66615812,18538205.706053182,20329374.913293738,22221631.25967358,24349796.950806793,25504209.068580467,27668053.22,28702124.626710396,26925666.057948772,28291598.241350338,32017781.000468597,36332968.775119744,44487237.436502285,54142076.639387384,66798486.35641642,76329836.14689432,73170297.86,77496753.70370369,87879341.48148163,109079978.88888907,131431026.66666698,147841734.4444438,164369278.8888889,182144092.9629633,208372846.2962961,240923924.8,290440140.74074095,337174861.85185146,398637727.77777815,438794788.5185183,459470370.37036985,481707407.4074072,499281481.4814809,535174074.07407427,589429629.6296296,577281481.4814819,633729629.6296291,680618518.5185189,727859259.2592599,766200000.0000005,826370370.3703694,800481481.4814816,814381481.4814813,856396296.2962958,919729629.6296294,1022962962.9629586,1157662962.9629617,1312759259.2592616,1370070370.3703675,1228329629.629631,1148700000.0000007,1281337037.0370421,1327107407.407412,1325425925.925929,1378829629.6296315,1437755555.5555584,1489692592.5925891,1531151851.8518476,1661529629.6296322,1725351851.8518486,1410796296.2962992,1601366666.6666691,1867733333.3333309
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606562977.050087,19682883149.26129,19922563187.610096,21539843446,23801123808.179768,25976164156.18628,27307844369.25513,30442724870.835983,32714085234.253567,36683365869.33853,41333606613.37715,45216647234.663605,52040887850.46731,63830877642.53683,88963890935.88815,97303017888.84349,105059356494.42485,110349850883.23018,118491633469.7302,134898330114.73376,149985515320.33408,176893068617.20728,194038397881.49628,177265418961.89285,193518998163.39597,180637129503.84705,182475517627.30786,189487162519.85175,236154038684.29227,299871835376.0424,311420509067.6285,325966686052.58105,325518458076.53357,312128302417.0875,322802490487.72125,368166023166.0225,401341880620.72797,435642611296.58563,399674421759.4787,389652212056.6492,416167815092.90765,379629301675.10815,395788696012.0595,467739079790.3319,614659980082.5156,695692898676.5602,748417562769.6368,8.55007E+11,1056112427190.3802,928762122698.0508,1148890200292.421,1398701323029.6316,1547649835732.889,1577301840200.0103,1468597690006.2202,1351768945139.1106,1207580901578.7192,1326882104817.0022,1429733668185.912,1394671325960.5713,1330381544909.298,1559033756285.1318,1692956646855.6982
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.184954,7311749633.362281,7756110210.119648,8374175257.730737,9169983885.711834,9994070615.859976,10887682273.101402,11579431668.916512,12440625312.868515,13582798556.240387,15373005557.025675,17858486066.747395,22059612476.933193,29515467706.795956,35189299911.660774,40059206763.05593,42959976221.52336,51545758887.68635,62052259073.24925,73937296963.45848,82058912997,71034228443.06192,71275287569.57336,72121016546.65251,67985344886.87155,69386774408.08713,99036164939.16183,124168442533.74004,133339397080.12901,133105805512.2199,166463386179.3542,173794177961.10825,195078126721.76312,190379720809.18002,203535242741.83804,241038283062.64478,237250948791.26636,212790348404.55515,218259904401.95605,217259147049.95386,197289625479.90604,197508773215.32303,214394866675.2403,262273631180.05383,301457562038.54047,316092273276.01495,336280064332.41125,389185571506.0514,432051935642.9454,401758735822.2103,392275107258.6669,431685217367.51056,409401816050.5317,430190979705.96246,442584815286.0345,381971148530.54364,395837353031.49945,417261151844.97736,454991174096.10223,444596155845.25464,435049316955.73706,479295362747.04675,470941926750.7404
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,648671709.0096978,698208957.5685775,727583190.0029655,770537346.1542925,726392123.5263338,836640963.4535013,790165147.1,858600798.9855165,960644965.7537692,1058444442.8728802,1120191758.2119052,1215452919.0122197,1236258275.9196193,1486602335.4001384,1906559133.3576396,1859675200.1145074,1961103881.803314,1932062130.6037962,1945779674.2469175,1939115209.9890962,1738745200.035387,1794433654.0806391,2295958434.3480005,2262193054.3011885,2648406295.8150873,2767763093.6893725,3169613489.9018536,2812250125.552729,2904041425.9159703,3030236572.118535,8884848484.848488,5343999999.999997,444658671.5867161,1570392598.149538,1193141110.3504283,2417331193,3176507376.3183546,3962362387.479225,4446368570.690102,4581248566.501579,5272615722.968919,5707616203.720114,6236087738,7276413079.114499,8680405741,13245421880.834003,20981929497.618786,33049419431.224358,48851293785.44834,44292427184.94923,52909294791.92613,65952796427.94732,69679944504,74160560123.69011,75239785452.10214,53076235354.746056,37866996882.91574,40866627351.981674,47112470051.77018,48174235294.11755,42693000000.00005,54825411764.705826,78721058823.52953
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999989.9999997,202999991.9999998,213500005.99999997,232749997.9999998,260750007.99999988,158994962.96296284,165444571.4,178297142.85714313,183200000.0000003,190205714.2857143,242732571.42857122,252842285.71428594,246804571.4285713,304339839.6,345263492.06349194,420986666.6666675,448412753.6231873,547535555.6,610225555.5555571,782496666.7,919726666.6666677,969046666.6666654,1013222222.2222205,1082926304.4647717,987143931.1669853,1149979285.773468,1201725497.0657809,1131466494.0110095,1082403219.4878707,1113924130.4114892,1132101252.5181696,1167398478.3459017,1083037670.6048415,938632612,925030590.1536831,1000428393.8852811,869033856.3,972896267.9154261,893770740.2074172,808077223.3657458,870486065.8831354,876794723.0685871,825394519.4237275,784654423.6204756,915257323.3961002,1117113079.7364507,1273375078.4484384,1356199387.4230783,1611835857,1781455139.8593109,2032135192.0124826,2235820809.320059,2333341334.4575267,2451606632.2924585,2705783329.804826,3104003546.2649646,2644487777,2723586962.840337,2667182199.513333,2576518879.8235297,2649680261.4399843,2775798697,3338722827.6624126
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722590.989998,12400145221.594986,13264015675.319277,14260017387.049225,15960106680.673178,17371457607.937393,18651883472.480804,19992040788.459328,21376353113.475002,23710735894.702236,26706196046.793137,29821661869.91197,37209418018.51342,47743801490.37463,56033077879.038994,65678189097,71113882967.60698,82839905458.63828,101246526194.44087,116315456796.91801,126829314388.19083,104730018470.22992,92095926187.53299,87184239053.25432,83349530159.17345,86268264148.37967,120018787249.4129,149394404105.88895,162299103675.26093,164221056511.05716,205331747947.85126,210510999409.33298,234781652446.67523,224721795708.9551,244884129491.19806,288025588396.2778,279201433224.75635,252708051420.8391,258528339631.02945,258245733221.46796,236792460312.4714,236746141604.36993,258383599375.17743,318082528506.5881,369214712443.2053,385714762230.0383,408259840868.8234,470922156309.45325,517328087920.07886,483254171097.8117,481420882905.00165,523330354138.13354,496152879924.7273,521791015247.05927,535390200131.0182,462335574841.4844,476062757356.9274,502764720556.35486,543299066998.90106,535865804349.8039,526264230147.3946,6.00749E+11,583435595579.9623
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.43449697,235668220.50820202,236434954.03857815,253927697.25805008,269819005.87814003,289908680.42639536,302925235.1519969,306221953.1,326323105.2647597,330748244.53957415,333627713.4944386,335073027.5411702,410331856.99121815,504376074.1857097,554654860.7025763,676870140.3415282,698408261.9222376,750049778.8406906,928843469.4317279,1186231019.8204417,1405251846.5404813,1291120188.431041,1267778670.3590178,1095348199.4391098,1051134008.7897886,1045712789.1488415,1336102025.277628,1562412227.9005775,1620246083.7947788,1502294416.1712918,1959965330,1986437796.5305266,1695315305.703077,2274558082.7613473,1598075943.8677392,2169627137.9207034,2361116449.393083,2268301646.4670677,2455092686.347117,3677393998.744855,3519991440.479133,3666222635.1387486,4194342686.2178054,5349258094.482386,6190270380.498553,6567654954,7034111314.888124,8169048382.838759,9787734526,9738626517,9535345015.783539,10693321364,11141358115.899082,12517845123.93148,13284527846.908115,11388160997.10892,11821065852.127115,12701655845.961208,14262408079.701405,14390708756.987978,15686741893.51871,17687623534.66647,17396792699.548916
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.8211857,350247234.2607126,379567099.2494225,394040667.10633457,410321644.9649114,422916789.7482998,433889766.23943526,450753923.5480484,460442689.3763788,478298645.3938197,458404268.76197106,482411179.12117743,578595522,674773569.8775469,751133430.4493017,939972703.4630212,976547188.0547792,1131224878.1886482,1475583644.9361403,1748480620.5239713,1928719888.2068775,1775842333.5704198,1754450096.2372086,1600278605.254651,1459880132.1410697,1552493196.2842383,2036303357.6811333,2369834949.7323356,2616040478.9930887,2615587733.9730334,3101300779,3135045584,3356692505.182666,3199536465.2332826,1895290637.0950413,2379517975.280556,2586550595.4101305,2447669101.9517775,2804902367.1468744,3389566712.6603756,2968370087.597587,3190371080.9476824,3622350062.960533,4740768142.6749325,5451688537.609597,6146353173.349296,6547419820.381121,7625722836.768461,9451435490,9450696873,10109619740.699383,12080295977.563217,12561015156.56832,13444300485.841185,13943016076.743582,11832159315.629784,12833363045.336683,14106955615.34422,15890066221.288216,16032813501.663885,17725010530.789387,19642668879.769382,18820064797.837864
