"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303029250","443265682.638888","749250761.254785","906618047.930536","976613022.606293","1000699857.78893","903363600.954155","985951256.411214","1083244185.52864","1207030025.88321","1529668526.15704","1762558021.91178","2241441688.55936","2681961312.56179","3875295055.58794","5071113778.6588","3925582806.07523","4537162833.55646","4917831896.75814","5131378422.31754","5477034530.30009","5487253581.82558","4419193790.5643","4470358658.69459","5653962633.58537","6679769677.54246","7603409295.72518","5082296667.92805","6119736065.9933","10186377627.6144",
"American Samoa","ASM","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","43500000","49100000","78000000","131800000","145000000","148300000","118000000","180800000","213200000","293537037.037037","303144444.444444","283800000","338911111.111111","340559259.259259","369888888.888889","386455555.555556","398500000","421925925.925926","438925925.925926","467366666.666667","478288888.888889","489922222.222222","529322433.333333","498461555.555556","486572962.962963","474439629.62963","534751168.518519","592338412.222222","682720511.851852","818413175.925926","932372142.962963","952207902.222222","706477112.962963","678929890.740741","641644011.481481","687627357.037037","713899421.851852","924222976.247144","853391541.392848","923580934.551222","970767344.498989","1132905850.88716","1180428569.29921","739746512.562218","866970794.770689","1175557222.1191",
"Australia","AUS","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53992655425.215","53371197842.9522","52679885810.8582","55168883181.3861","56603069408.9255","66750323101.7197","75423012737.8905","80376140344.9933","82747225907.2292","79601560688.5168","84902583708.4709","88268064342.9474","79477681918.1865","89216900918.4847","108505271568.209","134090529136.466","152261873019.855","172900787485.89","209377545809.879","250416085990.071","208489518783.582","260121523584.349","317136185621.512","341326257713.862","322028923608.029","309030623486.113","271188116336.297","261544107927.008","289694033063.165","311484423217.017","295701975957.296","251779465853.376","299618327723.753","367458088233.787",
"Austria","AUT","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148885319601.906","161499210428.508","192517910700.163","215522296067.527","171566654909.099","185620622249.927","219837854014.602","208352101892.48","216681002334.968","221641065666.951","188488818154.348","192377517364.133","212901579390.896","238933446815.815","231991681265.365","209817407901.88","264231441157.648","290276595868.616",
"Azerbaijan","AZE","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1290071000","1778475000","2101118000","2424676000","1918508000","2023514000","2129929000","3109182000","4751248000","6200378000","6810443000","7892462000","9261963000","11220723000","9786925000","10236392000","15707412000","17393069000","19492843000","19718722000","18446480000","16526981000","17105068000","17788105739.1412","17890899404.4373","15631954897.5647","16431750611.3","21274432000",
"Burundi","BDI","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","239015831.786109","268185245.388708","291250271.452138","280935930.766765","244021008.403361","318236357.487475","337237776.444333","319111613.229467","287676085.344757","266517587.69109","258895128.274426","138383026.512816","130789814.129383","164833478.808678","122172429.854719","150487183.282301","146482340.850883","147487857.00408","175319502.687924","232055136.706331","322992765.348996","446930932.898856","436252542.828789","594245042.798539","519660970.793548","606742158.22623","765321392.887542","925325195.872286","913754341.252308","924293857.685879","832594361.842142","741896443.91081","885421946.40787","905294483.669827","","","","",
"Belgium","BEL","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184313948888.472","207830545667.904","249201224744.841","276542575049.661","298405259746.196","355319550613.108","419110679600.904","328683566351.219","364143639834.487","434267026247.346","412521470054.939","426777783913.949","435576739795.207","353182611767.663","372253655905.99","412897593697.456","453056926501.099","438221420801.835","403358792019.12","516800081861.617","567164454128.871",
"Benin","BEN","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","188899535.876118","263516568.11178","269545372.557445","326779153.465927","370258498.553396","383872549.890977","420831063.495373","669466115.507213","648134350.003057","378784741.631163","384722360.733039","437605625.919808","521504248.545337","602588911.488492","457905709.628258","369625179.624743","453954038.377902","862950861.529517","746702011.318602","736447592.645224","632907831.561122","894695999.879398","743679000.405365","749217657.655728","764012109.855189","850797196.303022","709500056.738649","745573033.646909","891892739.489574","1075077508.30163","1131195482.73006","1145050970.7727","1399198211.50937","2105112868.36923","2409445964.50658","2242650965.65972","2292106207.74945","2307247386.32657","2587098622.64957","3355646086.69525","4164583846.31828","3493292685.25527","3715712760.03162","4017845451.13088","4668665792.69963","4306601255.1794","3941918100.01225","4925419324.42074","",
"Burkina Faso","BFA","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1394223500.42175","1451816227.72081","1703724515.26369","2362132067.55669","1949629645.01079","2559213185.51877","3516196991.49695","3874665440.42771","4755791453.49325","4329809140.3319","3772269742.98739","4068434281.95259","4629393892.1884","5166928038.8901","5023151867.42185","4778831228.26876","5835051726.0013","",
"Bangladesh","BGD","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","947869209.933616","1203948393.86614","1592743646.66768","2097981212.36143","2834015338.53334","2898256086.48138","2660816869.93373","2335792926.31739","2818017935.19369","2764371890.62776","2803726494.24526","2939820628.24878","3347529944.74005","4026495196.77719","3959810706.32955","3769730613.63807","4142568971.95168","4589425004.07468","5375556822.54406","7588597247.81112","7450640620.08508","7834422840.31882","7952812742.28301","8932237754.38875","9673134659.72593","9654915991.55892","9119863647.06224","11069917827.3672","12972304903.6221","14708233720.9778","16783829628.5402","19553271066.6029","25167716111.2465","23072754539.6883","29470808767.9072","37878113521.7329","37748953827.509","41568397953.9146","45176624645.7085","45575754269.1811","48167978223.7147","56764922839.7063","65585208867.4853","64233645990.9765","56776357566.2636","85298706306.6207","93815291417.3518",
"Bulgaria","BGR","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7994000000","9043000000","8814000000","9833000000","10430000000","11472000000","10676000000","11969000000","10545000000","9745000000","8027000000","4254800000","5333900000","5841200000","5198000000","6501900000","5948500000","4272600000","5989328638.58022","6561485116.8235","7669790651.7925","8575678045.40752","8752266141.88648","12085983124.1153","16838282105.0907","20608218378.9151","26235088173.9508","35243220018.6687","41066443559.2128","27187707844.4708","26931050000","33861000000","34550390000","36365740000","37203090000","32092640000","31934560000","37264480000","41909290000","41842610000","38197380000","50047870000","60252430000",
"Bahrain","BHR","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","1269279396.3825","1753289845.36947","2133198539.44951","2216008815.38252","2464509625.07847","3461271054.65444","4169414904.70589","3897606393.3447","3435106392.11465","3686702131.74502","3284574468.08511","2491755319.14894","2967287234.04255","2863297872.34043","3376595744.68085","3998670212.76596","4414893617.02128","4596276595.74468","4198138418.82934","4119149319.60167","4122340745.30569","4649734444.45843","4413032325.6812","3950532308.89617","4168743156.5128","5132052260.6383","4794828377.65957","5623879308.51064","6205060319.14894","8170430744.68085","10286968085.1064","11559042553.1915","12626329787.234","16276329787.234","11353989361.7021","13095478723.4043","13884308510.6383","25749202127.6596","28331382978.7234","26548936170.2128","22301861702.1277","21088031914.8936","23872074468.0851","27048670212.766","25703457446.8085","23727925531.9149","27995744680.8511","33066489361.7021",
"Bahamas, The","BHS","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","526800000","598700000","664800000","825300000","1064500000","1107300000","1100600000","1195900000","1223700000","1317000000","1358600000","1460000000","1474100000","1653800000","1653000000","1595400000","1499800000","1497940000","1641000000","1795800000","2003200000","2246700000","2728000000","2610800000","3008780000","2777400000","2765182099.007","2850980000","3138120000","3663841123","4377370000","4536512197.24422","4601942975.031","3731856000","3772597000","4258073000","4923126000","4794212000","5072062577.81294","4231893853.02474","4467158618.67312","4921466372.68991","5116303392.15296","4839615592.66949","3410801038.6226","4947151733.42411","5691698044.94515",
"Bosnia and Herzegovina","BIH","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4049400645.87216","4413355745.54803","4157308314.20553","4361039628.06175","4754511940.60535","6020432305.71997","7088578819.9321","7889800369.32247","8146122041.48657","8949609589.66401","11398156345.6843","8624862466.83688","8794058842.55384","10415664866.1772","9601845431.55979","9857989030.61031","10505625445.2291","8720639356.80087","8960591907.39837","10372840125.2054","11555954901.6063","11155950546.7397","9725903226.09923","12738047759.3802","15162446355.4757",
"Belarus","BLR","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2634800000","3199100000","5752400000","7274500000","8690500000","8116600000","6655200000","7614900000","8466900000","9077600000","11573900000","16470800000","17194700000","23061400000","29683300000","40890600000","29938600000","36820900000","47768300000","49075200000","46412100000","43819700000","32721700000","29992500000","36495300000","41338700000","42377900000","35235600000","45464823341.1","42280030443.94",
"Belize","BLZ","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","145700000","141350000","148450000","172900000","214600000","251000000","248400000","291800000","326100000","343000000","319812500","325501500","320855000","374555000","389907500","470117856.07","590264235","588197828.250087","620312118.59445","651436214.74354","612145112.868719","703006124.962315","750032179.998959","802873967.518282","957814500.91444","782258955.299693","809614500.364171","949258328.644706","1025051457.53499","1083698144.57871","1150123056.66305","1182622393.21082","1131810776.67718","1087886311.08089","1155093354.25485","1203192598.79455","901818661.930903","1249449577.80179","1573571150.24019",
"Bermuda","BMU","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1956250000","2280968303.30304","2200703014.96862","2048524193.3552","2001353895.02782","1797243647.17642","1798961253.69163","1906969069.76282","1956585395.40082","1828003106.68188","1923976651.46222","2044357675.03336","2197111579.21192","2223822427.79778","1723367796.6036","1924887635.3979","",
"Bolivia","BOL","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","659400000","760900000","948100000","1130900000","832900000","1147500000","717700000","740600000","665800000","708900000","842300000","916500000","845700000","1027700000","1086200000","1115400000","1351800000","1433400000","1352800000","1573900000","1731420000","2062340000","2200000000","1988700000","2077840000","1979443800","2071995000","2048112825","2330953949.03138","2864544535.47","3456895454.94311","4140205094.64","5778115001","5155790000","6155587585.3598","8777100051.22007","9918911256.56144","11060683460.1937","12918588167.9526","11907150275.2598","10788701064.583","11762009850.4516","12391416914.1397","11957287652.0878","8077653563.95803","10725976810.2305","14576606542.7512",
"Brazil","BRA","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","14546000000","14950000000","14816000000","16705000000","21760000000","27826000000","27229000000","24792000000","19560000000","17612000000","16958000000","18433000000","19368000000","19907000000","24180000000","28184000000","28251000000","27984000000","34856000000","43495000000","63293000000","66018000000","78338152969.47","76848771914.1","64486936790.8499","74154509783.1999","73882068899.2821","63069252159.8444","64999885841.5455","81816871629.7971","99502273115.7075","121986817260.586","160146992716.46","224219389453.538","176403920775.27","250626841424.66","308669003817.73","311817747488.88","333725054323.13","327260741679.24","251813628223.73","209432886125.94","235561165140.03","269518880300.01","270766909004.57","230508435058.09","306087243703.08","376083637563.06",
